=====================================Elevator E0 =========================================
92 6 goesup 
106 9 drops:P9 
106 9 stops 
72 1 picksup:P15 
74 2 goesup 
112 11 drops:P4 
113 11 drops:P15 
114 12 goesup 
114 12 picksup:P12 
116 11 goesdown 
118 1 picksup:P0 
120 2 goesup 
134 5 drops:P0 
134 5 stops 
114 1 drops:P12 
114 1 stops 
123 1 picksup:P2 
125 2 goesup 
114 9 picksup:P3 
116 8 goesdown 
120 7 drops:P3 
120 7 stops 
115 5 picksup:P18 
117 6 goesup 
120 7 picksup:P5 
122 8 goesup 
129 5 picksup:P16 
131 4 goesdown 
131 4 drops:P16 
133 5 goesup 
139 9 picksup:P11 
141 10 goesup 
141 10 drops:P11 
143 11 goesup 
143 11 picksup:P15 
145 10 goesdown 
143 12 picksup:P13 
143 12 drops:P18 
145 11 goesdown 
140 12 drops:P5 
140 12 stops 
146 6 drops:P13 
146 6 stops 
144 9 drops:P2 
144 9 stops 
142 5 picksup:P6 
142 5 drops:P15 
144 4 goesdown 
154 1 drops:P6 
154 1 stops 
143 9 picksup:P7 
145 10 goesup 
151 11 drops:P7 
151 11 stops 
154 3 picksup:P14 
156 4 goesup 
169 11 picksup:P4 
171 10 goesdown 
183 6 drops:P4 
183 6 stops 
161 6 drops:P14 
161 6 stops 
175 5 picksup:P19 
177 6 goesup 
177 6 drops:P19 
177 6 stops 
189 1 picksup:P12 
191 2 goesup 
209 6 drops:P12 
209 6 stops 
180 7 picksup:P3 
182 8 goesup 
185 9 picksup:P2 
187 10 goesup 
194 12 drops:P3 
195 12 drops:P2 
194 12 stops 
181 5 picksup:P15 
183 6 goesup 
197 9 drops:P15 
197 9 stops 
189 5 picksup:P0 
191 6 goesup 
191 6 drops:P0 
191 6 stops 
195 11 picksup:P7 
196 12 goesup 
194 12 drops:P7 
196 11 goesdown 
212 5 picksup:P8 
214 6 goesup 
232 10 drops:P8 
232 10 stops 
221 7 picksup:P17 
223 8 goesup 
237 11 drops:P17 
237 11 stops 
248 1 picksup:P10 
250 2 goesup 
238 1 picksup:P6 
240 2 goesup 
226 6 picksup:P13 
228 5 goesdown 
232 4 drops:P13 
232 4 stops 
238 4 picksup:P16 
240 5 goesup 
266 11 drops:P16 
266 11 stops 
245 3 drops:P10 
245 3 stops 
262 10 drops:P6 
264 11 goesup 
260 6 picksup:P4 
262 7 goesup 
262 7 drops:P4 
262 7 stops 
253 12 picksup:P5 
255 11 goesdown 
263 9 drops:P5 
263 9 stops 
259 9 picksup:P15 
261 8 goesdown 
256 6 picksup:P14 
258 7 goesup 
264 8 drops:P14 
264 8 stops 
268 12 picksup:P18 
270 11 goesdown 
268 6 picksup:P12 
270 5 goesdown 
270 5 drops:P12 
270 5 stops 
271 12 picksup:P7 
273 11 goesdown 
269 6 picksup:P19 
271 7 goesup 
285 1 drops:P15 
287 2 goesup 
278 9 drops:P19 
280 10 goesup 
280 10 picksup:P6 
282 11 goesup 
288 2 drops:P7 
288 2 stops 
277 11 picksup:P17 
279 12 goesup 
279 12 drops:P6 
281 11 goesdown 
289 9 drops:P17 
289 9 stops 
305 9 drops:P18 
305 9 stops 
282 9 picksup:P9 
284 8 goesdown 
323 12 picksup:P2 
325 11 goesdown 
329 10 drops:P2 
329 10 stops 
309 6 picksup:P0 
311 7 goesup 
317 8 drops:P0 
317 8 stops 
302 12 picksup:P3 
304 11 goesdown 
316 7 drops:P9 
318 8 goesup 
324 9 drops:P3 
324 9 stops 
306 9 picksup:P18 
308 8 goesdown 
308 8 drops:P18 
308 8 stops 
310 7 picksup:P4 
312 8 goesup 
322 10 drops:P4 
322 10 stops 
322 3 picksup:P10 
324 2 goesdown 
324 2 drops:P10 
324 2 stops 
322 10 picksup:P11 
324 9 goesdown 
342 1 picksup:P15 
344 2 goesup 
344 8 picksup:P14 
346 7 goesdown 
335 3 drops:P11 
335 3 stops 
333 2 picksup:P7 
335 3 goesup 
342 9 picksup:P5 
344 8 goesdown 
348 7 drops:P5 
348 7 stops 
349 1 drops:P14 
349 1 stops 
350 4 picksup:P13 
352 5 goesup 
361 9 picksup:P3 
361 9 drops:P7 
363 8 goesdown 
354 7 drops:P3 
356 8 goesup 
365 9 picksup:P19 
367 10 goesup 
367 10 drops:P19 
369 11 goesup 
369 11 drops:P13 
369 11 stops 
367 10 picksup:P2 
369 9 goesdown 
372 12 drops:P15 
372 12 stops 
383 10 picksup:P4 
385 9 goesdown 
368 12 picksup:P6 
370 11 goesdown 
374 9 picksup:P17 
376 8 goesdown 
372 7 picksup:P9 
374 8 goesup 
383 4 drops:P17 
385 3 goesdown 
374 9 drops:P9 
374 9 stops 
378 5 drops:P4 
378 5 stops 
383 3 drops:P2 
385 2 goesdown 
385 2 drops:P6 
385 2 stops 
383 2 picksup:P10 
385 3 goesup 
400 3 picksup:P11 
402 4 goesup 
415 12 picksup:P15 
417 11 goesdown 
413 10 picksup:P8 
415 11 goesup 
415 11 drops:P8 
417 12 goesup 
417 12 drops:P10 
417 12 stops 
416 11 picksup:P16 
399 10 goesdown 
402 11 picksup:P13 
404 10 goesdown 
400 5 picksup:P4 
402 4 goesdown 
399 4 drops:P4 
401 5 goesup 
402 10 picksup:P19 
404 9 goesdown 
408 8 drops:P13 
410 7 goesdown 
410 7 picksup:P5 
412 6 goesdown 
416 5 drops:P5 
418 4 goesdown 
415 8 picksup:P18 
415 8 drops:P11 
417 7 goesdown 
407 8 drops:P16 
407 8 stops 
418 5 drops:P18 
418 5 stops 
420 4 drops:P15 
420 4 stops 
418 3 picksup:P2 
420 2 goesdown 
424 1 drops:P19 
426 2 goesup 
433 8 picksup:P0 
435 7 goesdown 
435 7 drops:P0 
435 7 stops 
437 7 picksup:P3 
439 6 goesdown 
451 2 drops:P3 
451 2 stops 
444 7 drops:P2 
444 7 stops 
435 1 picksup:P14 
437 2 goesup 
439 8 picksup:P16 
441 7 goesdown 
445 6 drops:P16 
445 6 stops 
445 4 picksup:P15 
447 5 goesup 
449 5 drops:P14 
449 5 stops 
448 9 picksup:P7 
450 8 goesdown 
450 8 drops:P7 
450 8 stops 
446 9 picksup:P9 
448 8 goesdown 
460 4 drops:P9 
460 4 stops 
452 7 drops:P15 
452 7 stops 
448 5 picksup:P18 
450 4 goesdown 
454 3 drops:P18 
454 3 stops 
453 8 picksup:P11 
455 7 goesdown 
455 7 drops:P11 
455 7 stops 
464 12 picksup:P12 
466 11 goesdown 
470 10 picksup:P6 
472 9 goesdown 
477 3 drops:P12 
477 3 stops 
475 1 picksup:P19 
477 2 goesup 
479 1 drops:P6 
479 1 stops 
495 11 picksup:P8 
497 10 goesdown 
511 5 drops:P8 
511 5 stops 
483 4 picksup:P17 
485 5 goesup 
500 3 picksup:P12 
502 4 goesup 
532 11 drops:P12 
532 11 stops 
495 7 picksup:P0 
497 8 goesup 
498 9 drops:P19 
500 10 goesup 
510 12 drops:P17 
510 12 stops 
505 8 picksup:P13 
507 9 goesup 
513 10 drops:P13 
513 10 stops 
510 12 drops:P0 
510 12 stops 
512 6 picksup:P16 
514 7 goesup 
519 3 picksup:P18 
521 4 goesup 
528 2 picksup:P3 
530 3 goesup 
521 10 drops:P16 
521 10 stops 
519 7 picksup:P15 
521 8 goesup 
528 8 drops:P18 
528 8 stops 
514 8 drops:P15 
516 7 goesdown 
526 4 picksup:P9 
528 5 goesup 
534 6 drops:P9 
534 6 stops 
541 4 picksup:P4 
543 5 goesup 
533 7 picksup:P2 
535 8 goesup 
553 12 drops:P2 
553 12 stops 
546 9 drops:P3 
546 9 stops 
543 9 picksup:P19 
545 8 goesdown 
545 10 picksup:P16 
547 9 goesdown 
561 4 drops:P16 
561 4 stops 
553 9 drops:P4 
553 9 stops 
554 3 drops:P19 
554 3 stops 
571 1 picksup:P6 
573 2 goesup 
573 11 picksup:P12 
575 10 goesdown 
586 12 picksup:P0 
568 12 picksup:P17 
569 11 goesdown 
578 3 drops:P12 
578 3 stops 
579 8 drops:P0 
581 7 goesdown 
581 7 drops:P17 
581 7 stops 
574 7 picksup:P11 
576 6 goesdown 
605 12 drops:P6 
605 12 stops 
582 5 picksup:P5 
584 6 goesup 
602 10 drops:P5 
602 10 stops 
590 1 drops:P11 
590 1 stops 
592 8 picksup:P18 
594 9 goesup 
604 11 drops:P18 
604 11 stops 
599 3 picksup:P12 
601 2 goesdown 
605 1 drops:P12 
605 1 stops 
601 10 picksup:P13 
603 11 goesup 
609 12 drops:P13 
609 12 stops 
609 9 picksup:P3 
611 8 goesdown 
625 3 drops:P3 
625 3 stops 
614 4 picksup:P16 
616 5 goesup 
612 6 drops:P16 
612 6 stops 
614 12 picksup:P2 
616 11 goesdown 
628 7 drops:P2 
628 7 stops 
622 8 picksup:P0 
624 7 goesdown 
615 5 picksup:P14 
617 6 goesup 
627 8 drops:P14 
627 8 stops 
615 8 picksup:P7 
617 9 goesup 
631 12 drops:P7 
631 12 stops 
617 5 drops:P0 
617 5 stops 
639 12 picksup:P10 
641 11 goesdown 
639 9 picksup:P4 
641 8 goesdown 
649 6 drops:P4 
649 6 stops 
634 7 drops:P10 
634 7 stops 
641 8 picksup:P15 
643 7 goesdown 
639 11 picksup:P18 
641 10 goesdown 
659 3 drops:P18 
659 3 stops 
656 12 picksup:P6 
658 11 goesdown 
662 10 drops:P6 
662 10 stops 
654 2 drops:P15 
654 2 stops 
658 5 picksup:P8 
660 6 goesup 
660 6 drops:P8 
660 6 stops 
658 7 picksup:P17 
660 6 goesdown 
664 5 drops:P17 
664 5 stops 
665 6 picksup:P9 
667 7 goesup 
660 6 picksup:P16 
662 5 goesdown 
670 3 drops:P16 
670 3 stops 
676 5 picksup:P0 
678 4 goesdown 
681 10 picksup:P5 
683 9 goesdown 
680 12 drops:P9 
680 12 stops 
680 10 picksup:P6 
682 9 goesdown 
681 2 picksup:P15 
683 1 goesdown 
683 1 drops:P0 
685 2 goesup 
680 7 drops:P5 
682 6 goesdown 
686 5 picksup:P17 
